iter	Passed	Remaining
0	3	3822
1	6	3324
2	14	4945
3	21	5335
4	24	4881
5	27	4574
6	30	4276
7	31	3912
8	35	3859
9	37	3761
10	41	3771
11	44	3671
12	46	3550
13	49	3471
14	52	3478
15	56	3475
16	60	3487
17	64	3513
18	67	3464
19	69	3422
20	73	3426
21	77	3434
22	81	3447
23	84	3450
24	88	3452
25	92	3456
26	94	3409
27	96	3336
28	99	3345
29	103	3350
30	108	3388
31	113	3431
32	117	3433
33	120	3412
34	123	3414
35	126	3392
36	128	3335
37	131	3339
38	135	3345
39	138	3327
40	142	3328
41	145	3328
42	150	3357
43	152	3321
44	155	3308
45	159	3313
46	161	3280
47	164	3261
48	166	3240
49	169	3224
50	172	3206
51	174	3180
52	176	3155
53	178	3131
54	180	3099
55	182	3075
56	184	3054
57	186	3032
58	188	3013
59	191	2995
60	192	2961
61	194	2944
62	196	2925
63	198	2907
64	200	2889
65	203	2873
66	207	2886
67	209	2868
68	211	2850
69	213	2837
70	215	2822
71	217	2806
72	219	2793
73	222	2778
74	224	2762
75	226	2748
76	228	2733
77	230	2718
78	232	2705
79	237	2726
80	240	2728
81	243	2728
82	246	2727
83	250	2729
84	253	2730
85	257	2731
86	260	2736
87	264	2743
88	268	2753
89	272	2756
90	276	2759
91	279	2760
92	283	2763
93	287	2767
94	290	2770
95	302	2850
96	305	2847
97	307	2829
98	309	2817
99	311	2803
100	313	2789
101	315	2777
102	317	2764
103	321	2766
104	325	2771
105	327	2760
106	331	2762
107	334	2765
108	338	2768
109	342	2770
110	346	2772
111	349	2773
112	353	2775
113	357	2781
114	361	2784
115	365	2786
116	369	2787
117	372	2786
118	376	2787
119	380	2788
120	383	2789
121	387	2789
122	391	2789
123	394	2788
124	399	2793
125	403	2795
126	406	2796
127	410	2796
128	414	2801
129	418	2801
130	422	2801
131	426	2804
132	430	2805
133	434	2805
134	437	2805
135	441	2806
136	445	2805
137	448	2804
138	452	2803
139	456	2802
140	459	2801
141	463	2800
142	467	2800
143	470	2799
144	474	2798
145	478	2797
146	481	2791
147	483	2781
148	485	2773
149	488	2766
150	489	2749
151	491	2739
152	493	2730
153	495	2723
154	496	2709
155	499	2703
156	501	2694
157	503	2685
158	505	2676
159	507	2666
160	510	2662
161	512	2653
162	515	2646
163	517	2636
164	519	2627
165	521	2621
166	523	2613
167	526	2605
168	528	2596
169	530	2589
170	532	2581
171	534	2573
172	536	2565
173	538	2556
174	540	2547
175	542	2541
176	544	2533
177	546	2525
178	548	2515
179	550	2507
180	555	2512
181	559	2514
182	562	2512
183	565	2505
184	567	2499
185	569	2492
186	571	2485
187	573	2477
188	575	2469
189	578	2464
190	580	2457
191	583	2456
192	587	2456
193	590	2454
194	594	2455
195	598	2455
196	602	2456
197	606	2455
198	610	2456
199	613	2455
200	615	2445
201	618	2445
202	622	2444
203	626	2444
204	628	2438
205	632	2436
206	635	2435
207	639	2435
208	643	2435
209	647	2435
210	651	2434
211	652	2425
212	656	2424
213	659	2423
214	663	2423
215	667	2423
216	671	2423
217	675	2422
218	678	2421
219	682	2419
220	686	2418
221	690	2418
222	693	2417
223	697	2415
224	701	2415
225	705	2414
226	708	2413
227	712	2412
228	715	2410
229	720	2410
230	724	2412
231	728	2411
232	732	2410
233	735	2409
234	738	2404
235	742	2403
236	746	2402
237	750	2402
238	753	2400
239	757	2399
240	761	2397
241	764	2394
242	765	2386
243	768	2379
244	770	2373
245	772	2366
246	774	2360
247	776	2353
248	780	2354
249	782	2348
250	784	2341
251	786	2335
252	789	2330
253	791	2325
254	794	2320
255	796	2313
256	798	2307
257	800	2301
258	802	2296
259	804	2290
260	806	2284
261	808	2278
262	809	2269
263	811	2263
264	813	2256
265	815	2250
266	819	2250
267	821	2244
268	824	2240
269	827	2237
270	828	2229
271	832	2226
272	835	2223
273	838	2222
274	844	2225
275	847	2222
276	851	2222
277	855	2220
278	858	2218
279	860	2211
280	863	2209
281	866	2207
282	870	2206
283	874	2204
284	878	2203
285	881	2201
286	885	2200
287	889	2199
288	893	2198
289	897	2196
290	901	2195
291	904	2193
292	908	2192
293	912	2191
294	915	2188
295	919	2187
296	922	2184
297	925	2180
298	929	2178
299	932	2175
300	935	2173
301	939	2171
302	943	2170
303	947	2168
304	951	2167
305	955	2166
306	958	2164
307	962	2163
308	966	2162
309	971	2161
310	975	2161
311	979	2159
312	983	2158
313	987	2156
314	991	2155
315	994	2153
316	998	2151
317	1002	2149
318	1005	2147
319	1009	2145
320	1013	2143
321	1017	2141
322	1021	2140
323	1025	2139
324	1029	2138
325	1033	2136
326	1037	2134
327	1041	2133
328	1044	2131
329	1048	2129
330	1052	2127
331	1056	2125
332	1060	2123
333	1063	2121
334	1067	2119
335	1071	2117
336	1074	2114
337	1076	2109
338	1078	2103
339	1081	2098
340	1083	2094
341	1085	2089
342	1088	2084
343	1090	2079
344	1092	2074
345	1094	2069
346	1096	2063
347	1098	2058
348	1101	2054
349	1103	2050
350	1106	2046
351	1107	2039
352	1109	2034
353	1112	2029
354	1114	2024
355	1116	2019
356	1118	2014
357	1120	2009
358	1122	2004
359	1124	1998
360	1126	1994
361	1129	1990
362	1131	1985
363	1133	1980
364	1135	1976
365	1138	1972
366	1141	1968
367	1144	1965
368	1147	1962
369	1151	1961
370	1155	1958
371	1158	1956
372	1162	1954
373	1166	1951
374	1169	1949
375	1173	1947
376	1176	1944
377	1180	1942
